GNSS Trajectory File
Position ECEF
END OF HEADER
1966   4410	   -4130636.58  2894953.12   -3890530.44 
1966   4440	   -4130636.58  2894953.12   -3890530.44
1966   4470	   -4130636.58  2894953.12   -3890530.44
1966   4500	   -4130636.58  2894953.12   -3890530.44
1966   4530	   -4130636.58  2894953.12   -3890530.44
1966   4560	   -4130636.58  2894953.12   -3890530.44  
1966   4590	   -4130636.58  2894953.12   -3890530.44  
1966   4620	   -4130636.58  2894953.12   -3890530.44  
1966   4650	   -4130636.58  2894953.12   -3890530.44  
1966   4680	   -4130636.58  2894953.12   -3890530.44
1966   4510	   -4130636.58  2894953.12   -3890530.44
1966   4520	   -4130636.58  2894953.12   -3890530.44
1966   4530	   -4130636.58  2894953.12   -3890530.44
1966   4540	   -4130636.58  2894953.12   -3890530.44
1966   4550	   -4130636.58  2894953.12   -3890530.44
1966   4560	   -4130636.58  2894953.12   -3890530.44
1966   4570	   -4130636.58  2894953.12   -3890530.44
1966   4580	   -4130636.58  2894953.12   -3890530.44
1966   4590	   -4130636.58  2894953.12   -3890530.44
1966   4600	   -4130636.58  2894953.12   -3890530.44
1966   4610	   -4130636.58  2894953.12   -3890530.44
1966   4620	   -4130636.58  2894953.12   -3890530.44
1966   4630	   -4130636.58  2894953.12   -3890530.44
1966   4640	   -4130636.58  2894953.12   -3890530.44
1966   4650	   -4130636.58  2894953.12   -3890530.44
1966   4660	   -4130636.58  2894953.12   -3890530.44
1966   4670	   -4130636.58  2894953.12   -3890530.44
1966   4680	   -4130636.58  2894953.12   -3890530.44
1966   4690	   -4130636.58  2894953.12   -3890530.44
1966   4700	   -4130636.58  2894953.12   -3890530.44
1966   4710	   -4130636.58  2894953.12   -3890530.44
1966   4720	   -4130636.58  2894953.12   -3890530.44
1966   4730	   -4130636.58  2894953.12   -3890530.44
1966   4740	   -4130636.58  2894953.12   -3890530.44
1966   4750	   -4130636.58  2894953.12   -3890530.44
1966   4760	   -4130636.58  2894953.12   -3890530.44
1966   4770	   -4130636.58  2894953.12   -3890530.44
1966   4780	   -4130636.58  2894953.12   -3890530.44
1966   4790	   -4130636.58  2894953.12   -3890530.44
1966   4800	   -4130636.58  2894953.12   -3890530.44
1966   4810	   -4130636.58  2894953.12   -3890530.44
1966   4820	   -4130636.58  2894953.12   -3890530.44
1966   4830	   -4130636.58  2894953.12   -3890530.44
1966   4840	   -4130636.58  2894953.12   -3890530.44
1966   4850	   -4130636.58  2894953.12   -3890530.44
1966   4860	   -4130636.58  2894953.12   -3890530.44
1966   4870	   -4130636.58  2894953.12   -3890530.44
1966   4880	   -4130636.58  2894953.12   -3890530.44
1966   4890	   -4130636.58  2894953.12   -3890530.44
1966   4900	   -4130636.58  2894953.12   -3890530.44
1966   4910	   -4130636.58  2894953.12   -3890530.44
1966   4920	   -4130636.58  2894953.12   -3890530.44
1966   4930	   -4130636.58  2894953.12   -3890530.44
1966   4940	   -4130636.58  2894953.12   -3890530.44
1966   4950	   -4130636.58  2894953.12   -3890530.44
1966   4960	   -4130636.58  2894953.12   -3890530.44
1966   4970	   -4130636.58  2894953.12   -3890530.44
1966   4980	   -4130636.58  2894953.12   -3890530.44
