GNSS Trajectory File
Position ECEF
END OF HEADER
1966   4320	   -4130636.58  2894953.12   -3890530.44 
1966   4380	   -4130636.58  2894953.12   -3890530.44 
1966   4440	   -4130636.58  2894953.12   -3890530.44 
1966   4500	   -4130636.58  2894953.12   -3890530.44 
1966   4560	   -4130636.58  2894953.12   -3890530.44 
1966   4620	   -4130636.58  2894953.12   -3890530.44 
1966   4680	   -4130636.58  2894953.12   -3890530.44 
1966   4740	   -4130636.58  2894953.12   -3890530.44 
1966   4800	   -4130636.58  2894953.12   -3890530.44 
1966   4860	   -4130636.58  2894953.12   -3890530.44 
1966   4920	   -4130636.58  2894953.12   -3890530.44 
1966   4980	   -4130636.58  2894953.12   -3890530.44 
1966   5040	   -4130636.58  2894953.12   -3890530.44 
1966   5100	   -4130636.58  2894953.12   -3890530.44 
1966   5160	   -4130636.58  2894953.12   -3890530.44 
1966   5220	   -4130636.58  2894953.12   -3890530.44 
1966   5280	   -4130636.58  2894953.12   -3890530.44 
1966   5340	   -4130636.58  2894953.12   -3890530.44 
1966   5400	   -4130636.58  2894953.12   -3890530.44 
1966   5460	   -4130636.58  2894953.12   -3890530.44 
1966   5520	   -4130636.58  2894953.12   -3890530.44 
1966   5580	   -4130636.58  2894953.12   -3890530.44 
1966   5640	   -4130636.58  2894953.12   -3890530.44 
1966   5700	   -4130636.58  2894953.12   -3890530.44 
1966   5760	   -4130636.58  2894953.12   -3890530.44 
1966   5820	   -4130636.58  2894953.12   -3890530.44 
1966   5880	   -4130636.58  2894953.12   -3890530.44 
1966   5940	   -4130636.58  2894953.12   -3890530.44 
1966   6000	   -4130636.58  2894953.12   -3890530.44 
1966   6060	   -4130636.58  2894953.12   -3890530.44 
1966   6120	   -4130636.58  2894953.12   -3890530.44 
1966   6180	   -4130636.58  2894953.12   -3890530.44 
1966   6240	   -4130636.58  2894953.12   -3890530.44 
1966   6300	   -4130636.58  2894953.12   -3890530.44 
1966   6360	   -4130636.58  2894953.12   -3890530.44 
1966   6420	   -4130636.58  2894953.12   -3890530.44 
1966   6480	   -4130636.58  2894953.12   -3890530.44 
1966   6540	   -4130636.58  2894953.12   -3890530.44 
1966   6600	   -4130636.58  2894953.12   -3890530.44 
